"","timestamp","me_identifico","edad","estoy_trabajando_en","donde_estas_trabajando","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","gente_a_cargo","nivel_de_estudios_alcanzado","estado","carrera","universidad","realizaste_cursos_de_especializacion","contribuis_a_proyectos_open_source","programas_como_hobbie","trabajo_de","plataformas","lenguajes_de_programacion","frameworksherramientas_y_librerias","bases_de_datos","qa_testing","ides","que_so_usas_en_tu_laptoppc_para_trabajar","y_en_tu_celular","tenes_guardias","cuanto_cobras_por_guardia","porcentajebruto_o_neto","tipo_de_contrato","salario_bruto","salario_neto","que_tan_conforme_estas_con_tu_sueldo","como_crees_que_esta_tu_sueldo_con_respecto_al_ultimo_semestre","recibis_algun_tipo_de_bono","a_que_esta_atado_el_bono","tuviste_ajustes_por_inflacion_en_2019","de_que_fue_el_ajuste_total","en_que_mes_fue_el_ultimo_ajuste","sufriste_o_presenciaste_situaciones_de_violencia_laboral","orientacion_sexual","tenes_algun_tipo_de_discapacidad","sentis_que_esto_te_dificulto_el_conseguir_trabajo","a_que_eventos_de_tecnologia_asististe_en_el_ultimo_ano","sos_miembro_de_alguna_comunidad_it","cantidad_de_empleados","actividad_principal","la_recomendas_como_un_buen_lugar_para_trabajar","como_calificas_las_politicas_de_diversidad_e_inclusion","a_cuantos_kilometros_de_tu_casa_queda_la_oficina","beneficios_extra","habias_respondido_nuestra_encuesta_en_ediciones_anteriores","cuales_consideras_que_son_las_mejores_empresas_de_it_para_trabajar_en_este_momentoen_tu_ciudad"
"1","12/10/2019 8:26:52","Hombre",34,"Argentina","Formosa",9,5,5,0,"Universitario","Completado","Ingeniería en Sistemas de Información","UTN - Universidad Tecnológica Nacional","Sí, de forma particular, Sí, los pagó un empleador","No","Sí","BI Analyst / Data Analyst","Amazon Web Services, Windows Server",".NET, C#, CSS, HTML, PHP, Python, R, SQL, VBA",".NET Core, jQuery","IBM Db2, MSSQL, MySQL",NA,"NetBeans, Notepad++, RStudio, Sublime Text, Visual Studio, Visual Studio Code","Windows","iOS","No",0,"Porcentaje de mi sueldo","Full-Time",140000,80000,3,3,"De uno a tres sueldos","Mix de las anteriores","Más de tres",30,12,"En un trabajo anterior","Heterosexual",NA,NA,"Microsoft AI+ TOUR",NA,"501-1000","Otras industrias",7,9,45,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Guardería, Lactario en la oficina, Snacks, golosinas, bebidas, Viáticos","No",NA
"2","12/11/2019 0:36:54","Hombre",28,"Argentina","Santa Fe",3,1,3,0,"Universitario","Incompleto","Licenciatura en Economía","UNR - Universidad Nacional de Rosario","Sí, de forma particular","No","No","BI Analyst / Data Analyst",NA,"Python, SQL","Django","MySQL",NA,"PyCharm","GNU/Linux","Android","No",0,"Porcentaje de mi sueldo","Full-Time",54000,45000,2,2,"No","No recibo bono","Dos",35,10,"Jamás","Heterosexual",NA,NA,NA,NA,"11-50","Producto basado en Software",7,9,2,"Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Sí",NA
"3","12/11/2019 7:35:18","Hombre",31,"Argentina","Córdoba",12,0,0,0,"Terciario","Completado","Analista de Sistemas","Institucion Cervantes","Sí, de forma particular","No","No","BI Analyst / Data Analyst",NA,"C#",NA,"MSSQL",NA,"Android Studio","Windows","Android","No",0,"Neto","Full-Time",55000,40000,3,2,"No","No recibo bono","Dos",25,11,"Jamás","Heterosexual",NA,"No",NA,NA,"11-50","Servicios / Consultoría de Software / Digital",9,10,7,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc)","Sí",NA
"4","12/13/2019 15:52:12","Mujer",28,"Argentina","Santa Fe",2,1,1,0,"Universitario","Completado","Ingeniería en Sistemas de Información","UTN - Universidad Tecnológica Nacional","Sí, de forma particular, Sí, los pagó un empleador","Sí","Sí","BI Analyst / Data Analyst",NA,"SQL","SAP","HANA, MSSQL, MySQL",NA,"Eclipse, Visual Studio","Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",41700,34600,3,2,"No","No recibo bono","Tres",54,9,"Jamás","Heterosexual",NA,NA,"SEH2019","Si","11-50","Servicios / Consultoría de Software / Digital",8,5,1,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Gimnasios gratuitos / subvencionados, Descuentos varios (Clarín 365, Club La Nación, etc), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)","No",NA
"5","12/13/2019 16:03:53","Mujer",29,"Argentina","Santa Fe",3,2,3,1,"Universitario","Completado","Analista Universitario de Sistemas","UTN - Universidad Tecnológica Nacional","No","No","No","BI Analyst / Data Analyst",NA,NA,"Qlik sense","Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL, PostgreSQL",NA,NA,"Windows","Android","No",0,"Neto","Full-Time",50000,42000,2,1,"No","No recibo bono","Uno",20,8,"En un trabajo anterior","Heterosexual",NA,"No","Aws en buenos aires, charlas en San Cristóbal","Meetups devs","51-100","Otras industrias",9,10,2,"Ninguna de las anteriores","No",NA
"6","1/28/2020 11:21:44","Hombre",28,"Argentina","Ciudad Autónoma de Buenos Aires",5,0,0,0,"Universitario","Completado","Ingeniería en Informática","UBA - Universidad de Buenos Aires","Sí, de forma particular","No","No","Data Scientist / Data Engineer","Docker, Linux, Mainframe","Java, Python","Flask, Spark, Spring, TensorFlow","Cassandra, Google Cloud Storage, MySQL",NA,"IntelliJ, IPython / Jupyter, PyCharm, Vim","macOS","Android","No",0,"Bruto","Full-Time",220000,120000,4,3,"Un sueldo","Performance de la compañía","Más de tres",60,1,"Jamás","Heterosexual",NA,"No",NA,NA,"2001-5000","Producto basado en Software",10,10,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Gimnasios gratuitos / subvencionados, Estacionamiento gratuito / subvencionado, Lactario en la oficina, Licencia de paternidad/maternidad extendida, Snacks, golosinas, bebidas, Stock options / RSUs","Sí",NA
"7","12/30/2019 11:12:02","Hombre",28,"Argentina","Ciudad Autónoma de Buenos Aires",7,0,0,0,"Universitario","Completado","Licenciatura en Ciencias de la Computación","UBA - Universidad de Buenos Aires","No","No","No","Data Scientist / Data Engineer","Amazon Web Services, Docker","Java, Python, R, Scala, SQL","Spark","Amazon Redshift",NA,"IntelliJ, IPython / Jupyter, RStudio, Sublime Text","macOS","iOS","Sí, pasiva",0,"Porcentaje de mi sueldo","Full-Time",208000,135000,4,4,"No","No recibo bono","Dos",30,11,"Jamás","Heterosexual",NA,"No",NA,NA,"11-50","Producto basado en Software",10,10,5,"Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Playroom, Snacks, golosinas, bebidas, Viajes al exterior, WFH (Trabajar desde casa)","Sí","ASAPP, Medallia"
"8","1/30/2020 13:35:30","Hombre",31,"Argentina","Ciudad Autónoma de Buenos Aires",8,1,6,0,"Terciario","Completado","Analista de Sistemas","terciario","Sí, de forma particular","No","No","BI Analyst / Data Analyst",NA,"SQL",NA,"Apache Hive",NA,NA,"Windows","iOS","No",0,"Porcentaje de mi sueldo","Full-Time",190000,130000,2,2,"3+ sueldos","Mix de las anteriores","Más de tres",54,12,"Jamás","Heterosexual",NA,NA,NA,NA,"10001+","Otras industrias",7,9,30,"Gimnasios gratuitos / subvencionados, Playroom, Snacks, golosinas, bebidas","No",NA
"9","12/13/2019 11:51:17","Hombre",32,"Argentina","Ciudad Autónoma de Buenos Aires",10,0,0,0,"Universitario","En curso","Licenciatura en Tecnologías de la Información","UP - Universidad de Palermo","Sí, de forma particular","No","Sí","Data Scientist / Data Engineer","Azure, Linux, Windows Server","Bash/Shell, Python, SQL, PowerShell","Spark","ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), MSSQL, MongoDB, PostgreSQL, Snowflake",NA,"PyCharm, Visual Studio Code","Windows","Android","No",0,"Porcentaje de mi sueldo","Full-Time",185000,120000,4,4,"De uno a tres sueldos","Performance individual","Tres",50,11,"Jamás","Heterosexual",NA,NA,NA,NA,"11-50","Producto basado en Software",10,7,15,"Clases de idiomas, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)","Sí",NA
"10","1/10/2020 17:24:17","Hombre",31,"Argentina","Ciudad Autónoma de Buenos Aires",11,7,1,0,"Universitario","Completado","Licenciatura en Análisis de Sistemas","UBA - Universidad de Buenos Aires","No","Sí","Sí","Data Scientist / Data Engineer","Docker, Kubernetes, Linux","Bash/Shell, Java, Scala","Akka, Hadoop, Spark","Apache Hive, MariaDB, MySQL",NA,"IntelliJ","macOS","Android","No",0,"Porcentaje de mi sueldo","Full-Time",178500,125600,3,3,"De uno a tres sueldos","Mix de las anteriores","Dos",84,12,"Jamás","Heterosexual",NA,NA,"scalatam",NA,"1001-2000","Otras industrias",7,7,35,"Gimnasios gratuitos / subvencionados, WFH (Trabajar desde casa)","Sí",NA
