edad,anos_de_experiencia,anos_en_la_empresa_actual,anos_en_el_puesto_actual,trabajo_de,salario_bruto,salario_neto,sueldo_dolarizado
28,2,2,2,BI Analyst / Data Analyst,43000,38000,FALSE
34,9,5,5,BI Analyst / Data Analyst,140000,80000,FALSE
28,3,1,3,BI Analyst / Data Analyst,54000,45000,FALSE
31,12,0,0,BI Analyst / Data Analyst,55000,40000,FALSE
28,2,1,1,BI Analyst / Data Analyst,41700,34600,FALSE
29,3,2,3,BI Analyst / Data Analyst,50000,42000,FALSE
28,5,0,0,Data Scientist / Data Engineer,220000,120000,FALSE
28,7,0,0,Data Scientist / Data Engineer,208000,135000,FALSE
31,8,1,6,BI Analyst / Data Analyst,190000,130000,FALSE
35,5,13,2,BI Analyst / Data Analyst,70000,59000,FALSE
32,10,0,0,Data Scientist / Data Engineer,185000,120000,FALSE
31,11,7,1,Data Scientist / Data Engineer,178500,125600,FALSE
33,10,0,0,Data Scientist / Data Engineer,178000,110000,FALSE
32,0,4,4,BI Analyst / Data Analyst,32000,29000,FALSE
37,15,0,0,BI Analyst / Data Analyst,177000,135000,FALSE
39,10,0,0,Data Scientist / Data Engineer,157500,119000,FALSE
33,7,3,1,BI Analyst / Data Analyst,155000,105000,FALSE
32,10,8,2,Data Scientist / Data Engineer,150000,90000,FALSE
31,3,5,3,BI Analyst / Data Analyst,83000,55000,FALSE
29,3,3,3,BI Analyst / Data Analyst,91000,87000,FALSE
31,2,4,2,BI Analyst / Data Analyst,37000,31000,FALSE
32,5,1,1,BI Analyst / Data Analyst,146000,100000,FALSE
38,8,2,4,Data Scientist / Data Engineer,145000,110000,FALSE
47,20,15,3,BI Analyst / Data Analyst,51000,40000,FALSE
41,15,10,9,BI Analyst / Data Analyst,136000,98000,FALSE
50,20,1,5,BI Analyst / Data Analyst,135000,100000,FALSE
25,2,4,2,BI Analyst / Data Analyst,52000,44000,FALSE
23,3,0,0,BI Analyst / Data Analyst,52000,43000,FALSE
40,14,4,2,Data Scientist / Data Engineer,135000,95000,FALSE
31,5,10,4,BI Analyst / Data Analyst,130000,100000,FALSE
36,16,3,6,BI Analyst / Data Analyst,110000,87300,FALSE
26,2,0,0,BI Analyst / Data Analyst,120000,110000,FALSE
36,14,3,3,BI Analyst / Data Analyst,130000,99000,FALSE
26,4,0,4,Data Scientist / Data Engineer,130000,96000,FALSE
36,10,8,2,Data Scientist / Data Engineer,121000,77000,FALSE
37,13,0,0,BI Analyst / Data Analyst,70000,60000,FALSE
25,2,2,2,BI Analyst / Data Analyst,57000,42000,FALSE
51,25,5,5,BI Analyst / Data Analyst,120000,85000,FALSE
28,3,5,1,BI Analyst / Data Analyst,80000,63000,FALSE
42,10,10,5,BI Analyst / Data Analyst,120000,95000,FALSE
29,5,0,0,Data Scientist / Data Engineer,120000,89000,FALSE
32,2,1,1,Data Scientist / Data Engineer,120000,88457,FALSE
32,5,0,0,Data Scientist / Data Engineer,120000,80000,FALSE
28,4,0,3,Data Scientist / Data Engineer,120000,90000,FALSE
35,15,5,3,BI Analyst / Data Analyst,119000,86000,FALSE
31,10,0,0,BI Analyst / Data Analyst,115000,93000,FALSE
27,9,7,3,BI Analyst / Data Analyst,115000,90000,FALSE
27,2,15,15,BI Analyst / Data Analyst,50000,43000,FALSE
27,2,0,0,Data Scientist / Data Engineer,115000,95000,FALSE
36,5,0,5,BI Analyst / Data Analyst,72000,60000,FALSE
31,4,0,0,Data Scientist / Data Engineer,112000,84000,FALSE
36,12,3,6,BI Analyst / Data Analyst,110000,80000,FALSE
35,6,0,5,Data Scientist / Data Engineer,110000,86000,FALSE
31,3,8,2,Data Scientist / Data Engineer,110000,80000,FALSE
23,1,1,1,BI Analyst / Data Analyst,35000,30000,FALSE
27,1,1,0,Data Scientist / Data Engineer,108000,89000,FALSE
27,3,1,1,BI Analyst / Data Analyst,106000,73000,FALSE
31,5,1,1,BI Analyst / Data Analyst,75000,62000,FALSE
35,12,0,12,Data Scientist / Data Engineer,105800,80000,FALSE
55,30,3,3,BI Analyst / Data Analyst,105000,78000,FALSE
32,9,9,9,BI Analyst / Data Analyst,105000,80000,FALSE
46,16,5,5,BI Analyst / Data Analyst,105000,75000,FALSE
28,7,2,5,BI Analyst / Data Analyst,103000,80000,FALSE
29,0,0,0,BI Analyst / Data Analyst,41000,34500,FALSE
28,4,0,3,BI Analyst / Data Analyst,100000,75000,FALSE
36,2,1,2,BI Analyst / Data Analyst,70000,66000,FALSE
32,6,4,4,BI Analyst / Data Analyst,100000,70000,FALSE
35,8,5,5,BI Analyst / Data Analyst,100000,80000,FALSE
27,5,2,0,BI Analyst / Data Analyst,100000,78000,FALSE
36,10,0,0,Data Scientist / Data Engineer,100000,80000,FALSE
29,4,2,3,BI Analyst / Data Analyst,62000,55000,FALSE
26,3,3,1,BI Analyst / Data Analyst,80000,70000,FALSE
33,3,1,1,Data Scientist / Data Engineer,100000,70000,FALSE
37,15,1,1,BI Analyst / Data Analyst,48200,42150,FALSE
34,5,0,0,BI Analyst / Data Analyst,40000,37000,FALSE
30,9,0,0,BI Analyst / Data Analyst,100000,85000,FALSE
43,23,1,1,BI Analyst / Data Analyst,100000,80000,FALSE
40,19,2,3,Data Scientist / Data Engineer,100000,80000,FALSE
25,2,2,1,Data Scientist / Data Engineer,100000,78000,FALSE
23,1,1,1,BI Analyst / Data Analyst,41200,34196,FALSE
57,36,17,10,Data Scientist / Data Engineer,100000,80000,FALSE
28,4,35,2,Data Scientist / Data Engineer,100000,80000,FALSE
43,20,22,5,BI Analyst / Data Analyst,64000,55000,FALSE
31,10,2,2,Data Scientist / Data Engineer,100000,80000,FALSE
35,10,0,0,Data Scientist / Data Engineer,100000,75000,FALSE
25,6,4,2,Data Scientist / Data Engineer,98000,70200,FALSE
30,10,2,2,BI Analyst / Data Analyst,96385,80000,FALSE
26,5,0,0,BI Analyst / Data Analyst,96000,78000,FALSE
33,10,1,1,BI Analyst / Data Analyst,95000,78000,FALSE
30,5,1,1,BI Analyst / Data Analyst,95000,73000,FALSE
37,14,0,12,BI Analyst / Data Analyst,95000,72500,FALSE
35,7,3,3,Data Scientist / Data Engineer,95000,73000,FALSE
