Dia,Total de Visitantes,Clima
2017-09-14,589,Parcialmente Nublado
2017-09-15,696,Soleado
2017-09-16,1034,Soleado
2017-09-17,940,Parcialmente Nublado
2017-09-18,540,Soleado
2017-09-19,526,Soleado
2017-09-20,312,Soleado
2017-09-21,553,Nublado
2017-09-22,639,Soleado
2017-09-23,793,Soleado
2017-09-24,745,Parcialmente Nublado
2017-09-25,8,Soleado
2017-09-26,333,Nublado
2017-09-27,568,Soleado
2017-09-28,352,Nublado
2017-09-29,393,Soleado
2017-09-30,497,Soleado
2017-10-01,578,Soleado
2017-10-02,563,Parcialmente Nublado
2017-10-03,520,Soleado
2017-10-04,413,Nublado
2017-10-05,8,Soleado
2017-10-06,350,Soleado
2017-10-07,765,Nublado
2017-10-08,1071,Soleado
2017-10-09,534,Soleado
2017-10-10,563,Soleado
2017-10-11,517,Nublado
2017-10-12,755,Soleado
2017-10-13,880,Soleado
2017-10-14,1166,Soleado
2017-10-15,669,Soleado
2017-10-16,679,Soleado
2017-10-17,446,Soleado
2017-10-18,402,Nublado
2017-10-19,431,Soleado
2017-10-20,528,Nublado
2017-10-21,775,Soleado
2017-10-22,700,Soleado
2017-10-23,544,Soleado
2017-10-24,463,Soleado
2017-10-25,554,Soleado
2017-10-26,563,Soleado
2017-10-27,689,Soleado
2017-10-28,753,Nublado
2017-10-29,900,Nublado
2017-10-30,494,Nublado
2017-10-31,481,Soleado
2017-11-01,484,Nublado
2017-11-02,695,Nublado
2017-11-03,700,Soleado
2017-11-04,887,Soleado
2017-11-05,710,Soleado
2017-11-06,468,Soleado
2017-11-07,439,Soleado
2017-11-08,502,Soleado
2017-11-09,500,Soleado
2017-11-10,564,Soleado
2017-11-11,771,Soleado
2017-11-12,727,Soleado
2017-11-13,540,Nublado
2017-11-14,378,Soleado
2017-11-15,197,Soleado
2017-11-16,571,Parcialmente Nublado
2017-11-17,581,Soleado
2017-11-18,912,Soleado
2017-11-19,901,Soleado
2017-11-20,1038,Nublado
2017-11-21,531,Soleado
2017-11-22,464,Soleado
2017-11-23,337,Nublado
2017-11-24,640,Soleado
2017-11-25,724,Soleado
2017-11-26,746,Soleado
2017-11-27,542,Nublado
2017-11-28,0,Soleado
2017-11-29,451,Soleado
2017-11-30,311,Nublado
2017-12-01,601,Soleado
2017-12-02,879,Soleado
2017-12-03,1100,Soleado
2017-12-04,595,Nublado
2017-12-05,645,Soleado
2017-12-06,561,Soleado
2017-12-07,558,Soleado
2017-12-08,994,Soleado
2017-12-09,823,Soleado
2017-12-10,851,Soleado
2017-12-11,684,Soleado
2017-12-12,608,Soleado
2017-12-13,625,Soleado
2017-12-14,823,Soleado
2017-12-15,680,Soleado
2017-12-16,1264,Nublado
2017-12-17,1494,Soleado
2017-12-18,1119,Soleado
2017-12-19,1209,Soleado
2017-12-20,1097,Soleado
2017-12-21,1186,Soleado
2017-12-22,1309,Soleado
2017-12-23,1531,Soleado
2017-12-24,809,Soleado
2017-12-25,4,Soleado
2017-12-26,738,Soleado
2017-12-27,813,Soleado
2017-12-28,904,Soleado
2017-12-29,832,Soleado
2017-12-30,1005,Soleado
