jugador,equipo,salario
Stephen Curry,GSW,48070014
Russell Westbrook,LAL,47063478
LeBron James,LAL,44474988
Kevin Durant,BRK,44119845
Bradley Beal,WAS,43279250
Damian Lillard,POR,42492492
Giannis Antetokounmpo,MIL,42492492
Kawhi Leonard,LAC,42492492
Paul George,LAC,42492492
John Wall,HOU,47345760
Klay Thompson,GSW,40600080
Rudy Gobert,MIN,38172414
Anthony Davis,LAL,37980720
Khris Middleton,MIL,37948276
Jimmy Butler,MIA,37653300
Tobias Harris,PHI,37633050
Luka Dončić,DAL,37096500
Trae Young,ATL,37096500
Zach LaVine,CHI,37096500
Kyrie Irving,BRK,36934550
Ben Simmons,BRK,35448672
Pascal Siakam,TOR,35448672
Devin Booker,PHO,33833400
Karl-Anthony Towns,MIN,33833400
Kristaps Porziņģis,WAS,33833400
Jrue Holiday,MIL,33665040
Joel Embiid,PHI,33616770
Andrew Wiggins,GSW,33616770
CJ McCollum,NOP,33333333
Nikola Jokić,DEN,33047803
James Harden,PHI,33000000
Brandon Ingram,NOP,31650600
Jamal Murray,DEN,31650600
D'Angelo Russell,MIN,31377750
Shai Gilgeous-Alexander,OKC,30913750
Michael Porter Jr.,DEN,30913750
Deandre Ayton,PHO,30913750
De'Aaron Fox,SAC,30351780
Bam Adebayo,MIA,30351780
Donovan Mitchell,CLE,30351780
Jayson Tatum,BOS,30351780
Gordon Hayward,CHO,30075000
Jaren Jackson Jr.,MEM,28946605
Kevin Love,CLE,28942830
Jaylen Brown,BOS,28741071
Chris Paul,PHO,28400000
Kyle Lowry,MIA,28333334
Jalen Brunson,NYK,27733332
Kemba Walker,OKC,9165471
DeMar DeRozan,CHI,27300000
Al Horford,BOS,26500000
Draymond Green,GSW,25806468
Julius Randle,NYK,23760000
John Collins,ATL,23500000
Mike Conley,UTA,22680000
Malcolm Brogdon,BOS,22600000
Anfernee Simons,POR,22321429
Nikola Vučević,CHI,22000000
Terry Rozier,CHO,21486316
Fred VanVleet,TOR,21250000
Buddy Hield,IND,21177750
Jerami Grant,POR,20955000
Spencer Dinwiddie,DAL,20171427
Mikal Bridges,PHO,20100000
Jarrett Allen,CLE,20000000
Aaron Gordon,DEN,19690909
Tim Hardaway Jr.,DAL,19602273
Eric Gordon,HOU,19568360
Bojan Bogdanović,DET,19550000
Lonzo Ball,CHI,19534884
Caris LeVert,CLE,18796296
Clint Capela,ATL,18706896
Joe Harris,BRK,18642857
Domantas Sabonis,SAC,18500000
Harrison Barnes,SAC,18352273
Evan Fournier,NYK,18000000
Myles Turner,IND,18000000
