edad,anos_de_experiencia,anos_en_la_empresa_actual,anos_en_el_puesto_actual,perfil,salario_bruto,salario_neto
26,3,1,1,Data Scientist / Data Engineer,75000,68000
32,11,1,1,BI Analyst / Data Analyst,90000,75000
40,4,0,0,BI Analyst / Data Analyst,40000,34500
30,4,1,4,BI Analyst / Data Analyst,84000,68000
30,6,2,2,BI Analyst / Data Analyst,125000,93500
25,1,1,1,BI Analyst / Data Analyst,40000,34500
35,10,1,5,BI Analyst / Data Analyst,120000,89000
31,3,0,2,Data Scientist / Data Engineer,141882,103330
27,2,0,2,BI Analyst / Data Analyst,82000,68000
38,5,0,0,Data Scientist / Data Engineer,130000,105000
24,3,3,3,Data Scientist / Data Engineer,134333,99000
30,6,6,2,Data Scientist / Data Engineer,158000,104000
29,1,0,0,Data Scientist / Data Engineer,65000,54000
25,3,2,1,Data Scientist / Data Engineer,161000,112000
29,4,2,2,BI Analyst / Data Analyst,66000,55000
25,2,0,0,Data Scientist / Data Engineer,80000,65000
31,0,0,0,Data Scientist / Data Engineer,60000,50000
27,8,1,1,BI Analyst / Data Analyst,115000,90000
28,3,0,0,BI Analyst / Data Analyst,79800,71200
40,11,2,2,BI Analyst / Data Analyst,57000,47000
28,5,0,0,BI Analyst / Data Analyst,143000,115000
28,3,1,1,Data Scientist / Data Engineer,138000,99000
28,1,1,1,BI Analyst / Data Analyst,67000,56000
32,9,25,25,Data Scientist / Data Engineer,235000,150000
31,13,10,4,BI Analyst / Data Analyst,143000,110000
38,10,1,1,Data Scientist / Data Engineer,129000,102000
32,8,0,1,BI Analyst / Data Analyst,72000,61500
26,1,1,0,Data Scientist / Data Engineer,85000,64
33,3,0,0,Data Scientist / Data Engineer,140000,124000
31,0,0,0,Data Scientist / Data Engineer,52800,43800
36,2,1,1,Data Scientist / Data Engineer,85000,79000
28,2,0,1,Data Scientist / Data Engineer,112000,97000
28,3,5,5,Data Scientist / Data Engineer,130000,80000
42,24,0,13,BI Analyst / Data Analyst,130000,100000
22,1,1,1,Data Scientist / Data Engineer,51000,42000
26,1,1,0,Data Scientist / Data Engineer,82000,68000
27,9,2,2,Data Scientist / Data Engineer,130000,100000
26,4,0,4,BI Analyst / Data Analyst,78000,63000
36,10,6,6,BI Analyst / Data Analyst,115000,87
29,3,0,0,Data Scientist / Data Engineer,120000,89000
38,15,15,5,BI Analyst / Data Analyst,230000,170000
24,1,0,0,Data Scientist / Data Engineer,54000,44500
29,4,4,2,Data Scientist / Data Engineer,100000,80000
29,2,1,0,Data Scientist / Data Engineer,130000,107000
32,3,3,3,Data Scientist / Data Engineer,108000,85000
34,12,0,0,Data Scientist / Data Engineer,85000,71000
29,3,1,1,BI Analyst / Data Analyst,92000,71000
27,0,0,0,Data Scientist / Data Engineer,55000,46000
37,17,1,1,BI Analyst / Data Analyst,85000,72000
34,12,2,2,Data Scientist / Data Engineer,190000,125000
28,7,0,15,Data Scientist / Data Engineer,140000,110000
46,25,8,8,BI Analyst / Data Analyst,220000,150000
26,5,2,0,Data Scientist / Data Engineer,136000,92600
23,3,2,0,Data Scientist / Data Engineer,163000,106000
23,1,0,0,Data Scientist / Data Engineer,54000,44820
45,23,4,4,BI Analyst / Data Analyst,139216,98000
27,8,0,5,BI Analyst / Data Analyst,115000,98000
26,3,3,2,Data Scientist / Data Engineer,129000,96000
27,9,7,7,BI Analyst / Data Analyst,41000,32000
34,13,0,10,BI Analyst / Data Analyst,120000,90000
46,12,0,0,Data Scientist / Data Engineer,120000,85000
26,2,2,2,Data Scientist / Data Engineer,56000,46000
31,0,0,0,BI Analyst / Data Analyst,65000,51000
28,2,1,1,Data Scientist / Data Engineer,102000,83917
24,1,0,0,BI Analyst / Data Analyst,39870,32000
32,7,7,7,BI Analyst / Data Analyst,67000,58000
28,2,2,1,Data Scientist / Data Engineer,90000,68000
32,11,1,4,BI Analyst / Data Analyst,127000,95000
