Rk,Player,Tm,2019-20
1,Stephen Curry\curryst01,GSW,$40231758
2,Chris Paul\paulch01,OKC,$38506482
3,Russell Westbrook\westbru01,HOU,$38178000
4,John Wall\walljo01,WAS,$37800000
5,James Harden\hardeja01,HOU,$37800000
6,LeBron James\jamesle01,LAL,$37436858
7,Kevin Durant\duranke01,BRK,$37199000
8,Blake Griffin\griffbl01,DET,$34234964
9,Kyle Lowry\lowryky01,TOR,$33296296
10,Paul George\georgpa01,LAC,$33005556
11,Klay Thompson\thompkl01,GSW,$32742000
12,Jimmy Butler\butleji01,MIA,$32742000
13,Kemba Walker\walkeke02,BOS,$32742000
14,Kawhi Leonard\leonaka01,LAC,$32742000
15,Gordon Hayward\haywago01,BOS,$32700690
16,Mike Conley\conlemi01,UTA,$32511623
17,Kyrie Irving\irvinky01,BRK,$31742000
18,Tobias Harris\harrito02,PHI,$31034483
19,Khris Middleton\middlkh01,MIL,$30603448
20,Paul Millsap\millspa01,DEN,$30500000
21,Damian Lillard\lillada01,POR,$29802321
22,Kevin Love\loveke01,CLE,$28900000
23,Nikola Vučević\vucevni01,ORL,$28000000
24,Al Horford\horfoal01,PHI,$28000000
25,DeMar DeRozan\derozde01,SAS,$27739975
26,CJ McCollum\mccolcj01,POR,$27556959
27,Joel Embiid\embiijo01,PHI,$27504630
28,Andrew Wiggins\wiggian01,GSW,$27504630
29,Kristaps Porziņģis\porzikr01,DAL,$27285000
30,D'Angelo Russell\russeda01,MIN,$27285000
31,Otto Porter\porteot01,CHI,$27250576
32,Devin Booker\bookede01,PHO,$27250000
33,Karl-Anthony Towns\townska01,MIN,$27250000
34,Bradley Beal\bealbr01,WAS,$27093019
35,Anthony Davis\davisan02,LAL,$27093019
36,Andre Drummond\drumman01,CLE,$27093019
37,Hassan Whiteside\whiteha01,POR,$27093018
38,Nikola Jokić\jokicni01,DEN,$26573595
39,Jrue Holiday\holidjr01,NOP,$26131111
40,LaMarcus Aldridge\aldrila01,SAS,$26000000
41,Steven Adams\adamsst01,OKC,$25842697
42,Giannis Antetokounmpo\antetgi01,MIL,$25842697
43,Marc Gasol\gasolma01,TOR,$25595700
44,Nicolas Batum\batumni01,CHO,$25565217
45,Chandler Parsons\parsoch01,ATL,$25102511
46,Rudy Gobert\goberru01,UTA,$25008427
47,Harrison Barnes\barneha02,SAC,$24147727
48,Serge Ibaka\ibakase01,TOR,$23271604
49,Danilo Gallinari\gallida01,OKC,$22615559
50,Victor Oladipo\oladivi01,IND,$21000000
51,Malcolm Brogdon\brogdma01,IND,$20000000
52,Terry Rozier\roziete01,CHO,$19894737
53,Aaron Gordon\gordoaa01,ORL,$19863636
54,Zach LaVine\lavinza01,CHI,$19500000
55,Kent Bazemore\bazemke01,SAC,$19269662
56,Tyler Johnson\johnsty01,PHO,$19245370
57,Goran Dragić\dragigo01,MIA,$19217900
58,Jeff Teague\teaguje01,ATL,$19000000
59,Evan Turner\turneev01,MIN,$18606557
60,Draymond Green\greendr01,GSW,$18539130
61,Tristan Thompson\thomptr01,CLE,$18539130
62,Tim Hardaway\hardati02,DAL,$18150000
63,Myles Turner\turnemy01,IND,$18000000
64,Julius Randle\randlju01,NYK,$18000000
65,Gary Harris\harriga01,DEN,$17839286
66,Allen Crabbe\crabbal01,MIN,$17818456
67,Derrick Favors\favorde01,NOP,$17650000
68,Reggie Jackson\jacksre01,DET,$17286956
69,Andre Iguodala\iguodan01,MIA,$17185185
70,Bojan Bogdanović\bogdabo02,UTA,$17000000
71,Evan Fournier\fournev01,ORL,$17000000
72,Bismack Biyombo\biyombi01,CHO,$17000000
73,Clint Capela\capelca01,ATL,$16456522
74,Gorgui Dieng\dienggo01,MEM,$16229213
75,Ricky Rubio\rubiori01,PHO,$16190476
76,Jonas Valančiūnas\valanjo01,MEM,$16000000
77,Brandon Knight\knighbr03,DET,$15643750
78,Eric Bledsoe\bledser01,MIL,$15625000
79,Kelly Oubre\oubreke01,PHO,$15625000
80,Dennis Schröder\schrode01,OKC,$15500000
81,Ian Mahinmi\mahinia01,WAS,$15450051
82,James Johnson\johnsja01,MIN,$15349400
83,Marvin Williams\willima02,CHO,$15006250
84,Bobby Portis\portibo01,NYK,$15000000
85,Marcus Morris\morrima03,LAC,$15000000
86,Danny Green\greenda02,LAL,$14634146
87,Cody Zeller\zelleco01,CHO,$14471910
88,Eric Gordon\gordoer01,HOU,$14057730
