"","l3","AVG_pxm2_l3","tipo_barrio"
"1","Abasto",1806.93548387097,"precio_medio"
"2","Agronomía",1693.33333333333,"precio_medio"
"3","Almagro",1917.16803278689,"precio_medio"
"4","Balvanera",1637.85137614679,"precio_medio"
"5","Barracas",1767.96265560166,"precio_medio"
"6","Barrio Norte",2397.36768447837,"precio_alto"
"7","Belgrano",2720.80828779599,"precio_alto"
"8","Boca",1312.35064935065,"precio_bajo"
"9","Boedo",1709.78832116788,"precio_medio"
"10","Caballito",2120.27308337997,"precio_alto"
"11","Catalinas",1529.8,"precio_bajo"
"12","Centro / Microcentro",1601,"precio_medio"
"13","Chacarita",1952.62773722628,"precio_medio"
"14","Coghlan",2131.89671361502,"precio_alto"
"15","Colegiales",2313.99540229885,"precio_alto"
"16","Congreso",1647.07936507937,"precio_medio"
"17","Constitución",1275.13095238095,"precio_bajo"
"18","Flores",1713.03,"precio_medio"
"19","Floresta",1547.88065843621,"precio_bajo"
"20","Liniers",1699.16551724138,"precio_medio"
"21","Mataderos",1391.3813559322,"precio_bajo"
"22","Monserrat",1745.78873239437,"precio_medio"
"23","Monte Castro",1616.35833333333,"precio_medio"
"24","Nuñez",2593.69781553398,"precio_alto"
"25","Once",1500.17105263158,"precio_bajo"
"26","Palermo",2802.53937808777,"precio_alto"
"27","Parque Avellaneda",1272.67924528302,"precio_bajo"
"28","Parque Centenario",1955,"precio_medio"
"29","Parque Chacabuco",1720.23394495413,"precio_medio"
"30","Parque Chas",1960.13829787234,"precio_medio"
"31","Parque Patricios",1566.72388059701,"precio_bajo"
"32","Paternal",1726.93181818182,"precio_medio"
"33","Pompeya",1226.8,"precio_bajo"
"34","Puerto Madero",4335.25550660793,"precio_alto"
"35","Recoleta",2634.18672456576,"precio_alto"
"36","Retiro",2418.34006734007,"precio_alto"
"37","Saavedra",2019.56158663883,"precio_alto"
"38","San Cristobal",1583.92771084337,"precio_bajo"
"39","San Nicolás",1829.18699186992,"precio_medio"
"40","San Telmo",1871.5306122449,"precio_medio"
"41","Tribunales",1629,"precio_medio"
"42","Velez Sarsfield",1455.83076923077,"precio_bajo"
"43","Versalles",1458.82857142857,"precio_bajo"
"44","Villa Crespo",2040.4347826087,"precio_alto"
"45","Villa del Parque",1822.08613445378,"precio_medio"
"46","Villa Devoto",2117.90349075975,"precio_alto"
"47","Villa General Mitre",1601.02564102564,"precio_medio"
"48","Villa Lugano",1381.10144927536,"precio_bajo"
"49","Villa Luro",1824.49723756906,"precio_medio"
"50","Villa Ortuzar",1802.85925925926,"precio_medio"
"51","Villa Pueyrredón",1833.76068376068,"precio_medio"
"52","Villa Real",1660.9375,"precio_medio"
"53","Villa Riachuelo",1253,"precio_bajo"
"54","Villa Santa Rita",1591.11206896552,"precio_medio"
"55","Villa Urquiza",2198.98328108673,"precio_alto"
