"id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type","precio_en_miles"
"AfdcsqUSelai1ofCAq2B0Q==","Velez Sarsfield",3,2,95,69,199900,"Casa",200
"ESzybdH7YU2uIU1/kHtRGw==","Nuñez",1,1,44,38,147000,"Departamento",147
"r22OfzZ3kXooSPoE5HMuZQ==","Almagro",1,1,40,37,92294,"Departamento",92
"atZQXVtyfG7+OiX6gYY3lA==","Almagro",1,1,49,44,115000,"Departamento",115
"R7IsTtVsxPCiRbIHMaWGxA==","Almagro",1,1,40,37,77000,"Departamento",77
"Tur/v/qE41UBT83NM/bI7w==","Almagro",1,1,40,37,88900,"Departamento",89
"PNtNl6sWjHEyRPQAeRAIgw==","Almagro",1,1,40,37,88798,"Departamento",89
"Lhg4dNG9VmPbHt0Swy2ATA==","Almagro",1,1,49,44,110975,"Departamento",111
"MFngc+8f1sFriO+lteUuZw==","Almagro",1,1,40,37,92943,"Departamento",93
"mVq2X1mkiRWN9A34SR7AoA==","Almagro",1,1,23,23,69000,"Departamento",69
"oeLhuwomY2yj4A9TtDrgCA==","Almagro",1,1,40,37,99000,"Departamento",99
"FmtrGFKvbW1cAmPdOafxbA==","Almagro",1,1,40,37,96984,"Departamento",97
"j3TPUzK3MS+Al1oSBdDwPQ==","Palermo",1,1,32,30,125000,"Departamento",125
"QohS/eOYCforD1lMAO5xWQ==","Palermo",1,1,40,34,99500,"Departamento",100
"WEJo+0VJA9h/9SSarNFwHw==","Palermo",1,1,36,33,121600,"Departamento",122
"ByY9fh3StPKq4zCRtWeNCg==","Palermo",3,2,90,90,285000,"Departamento",285
"jtR+xskLLJjJBPuSA3MwKg==","Palermo",1,1,45,35,150000,"Departamento",150
"MbPmZ9H7zmQO/0PM3bGorA==","Palermo",1,1,54,48,140000,"Departamento",140
"ep41mLAb7DbaEaQO463jmw==","Palermo",2,1,40,40,110000,"Departamento",110
"UOCjxLLCRdZ9ZA3AF+Rk+w==","Palermo",1,1,33,32,110000,"Departamento",110
"jHVNdA+pFvFgvIvElqYQrA==","Palermo",1,1,40,34,96000,"Departamento",96
"HchjBwJ7xoMsyPu7+wr2Hw==","Caballito",1,1,40,36,152732,"Departamento",153
"VI36xWzkGnmQ8BPj2b2LZQ==","Villa Crespo",1,1,36,33,108000,"Departamento",108
"uYtlstOiGwrzC+Bveem70Q==","Villa Crespo",1,1,38,34,94800,"Departamento",95
"KAsKStpJk83O1/BZDPYPHA==","Puerto Madero",4,2,174,174,1080000,"Departamento",1080
"V1Z1MLnb0ltAf1avbmeW+w==","Villa Urquiza",1,1,32,29,88000,"Departamento",88
"R+yVbxakCV5KnTARJerZww==","Villa Urquiza",2,2,75,68,225000,"Departamento",225
"3mG1aRPOTKwP9r7ATiOq0Q==","Parque Chacabuco",1,1,70,70,225000,"Departamento",225
"sprmySwo754xn5V+RkBBVw==","Barracas",1,1,31,28,85000,"Departamento",85
"NmldwBHdTQz7hBeMRvkp1g==","Almagro",2,1,48,48,129900,"PH",130
"Mo/Af6jdZOEsC6b5QtV3cw==","Nuñez",2,1,53,50,185000,"Departamento",185
"8jXXQO6vP2Trmp9DX1iBYA==","Nuñez",2,1,39,34,140000,"Departamento",140
"LmF00a4PBN/Mar9imWz9/A==","Retiro",2,1,58,58,158000,"Departamento",158
"G+Rok4yOkjcUejO48VCcBA==","Almagro",2,1,42,38,98000,"Departamento",98
"RcipaHMS2UeyPhAA2BmEVw==","Almagro",2,1,48,48,99000,"Departamento",99
"EbcaOI8iBq/ZsQ7T8jnZDQ==","Almagro",2,1,32,32,80000,"Departamento",80
"TdTtpCtAKR2BagYNrrxOUg==","Almagro",2,1,52,48,159900,"Departamento",160
"S2MxRAoASTXupDp0VdgDfQ==","Palermo",2,1,32,32,87000,"Departamento",87
"yate1fvhuba8D8kxaNWltg==","Palermo",2,1,64,60,178000,"Departamento",178
"QxXxWHp25E4ksUtvpkiePw==","Palermo",2,1,55,50,310000,"Departamento",310
"wi29s49GvQWGXB3I7QvrYQ==","Palermo",2,1,50,44,172000,"Departamento",172
"vIVCVWLoEa8wKYNDhlcXKw==","Palermo",2,2,83,54,208000,"Departamento",208
"thCXWtJ5gbZOCoMNE0jkdQ==","Belgrano",2,1,53,50,185000,"Departamento",185
