id,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type,precio_en_miles
1ZHYJgyAbGUcX+v1Ggj1rA==,Palermo,1,1,38,35,125000,Departamento,125
BcAHh7UMLQpQ/axyyuwqkQ==,Caballito,1,1,55,36,74500,Departamento,74
LlmVTCwhFsqei54xoCbyLA==,Flores,1,1,37,32,79900,Departamento,80
rIQDuo/q+I3L9ong86vfXg==,Flores,1,1,37,33,53700,Departamento,54
ELd9qwuhOmZrGjAyfl9gXQ==,Retiro,1,1,29,26,57000,Departamento,57
1qOhi9sMiGnki2b7x0w9PA==,Almagro,1,1,41,38,99000,Departamento,99
nM8ERVL2SRszDTdCweWtPQ==,Palermo,1,1,36,32,93000,Departamento,93
IgCnbNNcO0uAklWUo58Wkw==,Palermo,1,1,31,29,68000,Departamento,68
SuxvRQt1A7RE8/9R7fEuXw==,Palermo,1,1,30,28,84900,Departamento,85
t46/k2KlNgmLdXp0zyFnvg==,Floresta,1,1,36,33,65000,Departamento,65
fW+4w2QMlcZdKED7H2OARQ==,Caballito,1,1,32,32,62000,Departamento,62
/GRmkZDbuHDX/MxHpa7xIQ==,Chacarita,1,1,34,27,66756,Departamento,67
BvpyiF1fEbxJ+NaJ3Npp9g==,San Telmo,1,1,27,27,45000,Departamento,45
px3XUGymkrKL0U/69snVgA==,Colegiales,1,1,30,30,57900,Departamento,58
Nyf86D14+9tOPWsh7wuh4w==,San Nicolás,1,1,31,27,45000,Departamento,45
OVjfimh9HmcWRuBWIcDtmw==,Villa Crespo,1,1,40,36,78500,Departamento,78
cz4W4ZL7grjWD95gUaO3hw==,Villa Crespo,1,1,35,31,76900,Departamento,77
XshNVnij6BJTmHBu8fxdtg==,Flores,1,1,37,33,52600,Departamento,53
Lnw4R55N7wio6hwOvbPg1g==,Flores,1,1,37,33,54500,Departamento,54
/OHer89hNcs+bcJ6o2mPdg==,Flores,1,1,37,33,53700,Departamento,54
tJF4WeDAhXZcgJtXVWCIlQ==,Flores,1,1,37,33,52500,Departamento,52
rFJpjaiuZvZvEZqsEkMvJA==,Flores,1,1,37,33,52500,Departamento,52
Y3EbbW+pFaiGdXn+sMBoqA==,Flores,1,1,37,33,54500,Departamento,54
Up6zD8ZLO8bvm22jnQAOEA==,Flores,1,1,37,33,59100,Departamento,59
1Er50f95oWVsgWVsIMuo/Q==,Flores,1,1,37,33,54500,Departamento,54
